Sector,States,Domain,Note
state university,['utah'],extension.usu.edu,Utah State University extension -- Note added 8/21/14 5:14
ok state,[],fcs.okstate.edu,OK State Family & Consumer website -- Note added 8/28/15 16:47
commission status,['florida'],fcsw.net,"The Florida Commission on the Status of Women - The Florida Commission on the Status of Women is a nonpartisan board, statutorily created in 1991, consisting of 22 appointed members. The Commission is administratively housed in the Office of the Attorney General. -- Note added 7/9/15 14:45"
sc film,[],filmsc.com,SC film industry -- Note added 8/28/15 13:47
fish boat,['pennsylvania'],fishandboat.com,Pennsylvania Fish and Boat Commission (PFBC) -- Note added 6/7/13 11:30
Unknown,['florida'],flalottery.com,Florida lottery -- Note added 6/12/13 14:07
courts -,['florida'],flcourts.org,"Florida Courts - The mission of the judicial branch is to protect rights and liberties, uphold and interpret the law, and provide for the peaceful resolution of disputes. -- Note added 6/17/15 13:01"
department education,['florida'],fldoe.org,Florida Department of Education -- Note added 6/17/15 13:06
governor 's,['florida'],flgov.com,Florida Governor's Office -- Note added 6/6/13 18:08
office financial,['florida'],flofr.com,"Florida Office of Financial Regulation - Key Function: provides regulatory oversight for Florida's financial services providers.  Mission: to protect the citizens of Florida, promote a safe and sound financial marketplace, and contribute to the growth of Florida's economy with smart, efficient and effective regulation of the financial services industry. -- Note added 6/17/15 13:13"
office insurance,['florida'],floir.com,Florida Office of Insurance Regulation - To promote a stable and competitive insurance market for consumers. -- Note added 6/17/15 13:17
national guard,['florida'],floridacounterdrug.com,Florida National Guard Counterdrug.  n   Florida Counterdrup Program - Under this authority our office provides oversight of the FLARNG and FLANG Substance Abuse Prevention Programs.      -- Note added 6/17/15 13:20
fish wildlife,['florida'],floridamarine.org,Florida Fish and Wildlife Conservation Commission -- Note added 7/8/14 12:46
re-districting website,['florida'],floridaredistricting.org,Florida re-districting website.  House Speaker Will Weatherford and Senate President Don Gaetz called a special session from August 7-15 to amend Congressional Districts 5 and 10 consistent with the Final Judgment issued by the circuit court in Romo v. Detzner and to make conforming changes to districts that are a direct result of the changes to Congressional Districts 5 and 10. -- Note added 6/23/15 18:02
environmental public,['florida'],floridatracking.com,"Florida Environmental Public Health Tracking, Florida Department of Health This web portal was supported by Cooperative Agreement Number 5U38EH000941 from the Centers for Disease Control and Prevention. Its contents are solely the responsibility of the authors (FL Tracking Team) and do not necessarily represent the official views of the Centers for Disease Control and Prevention. -- Note added 7/9/15 15:15"
state 's,['florida'],fltreasurehunt.org,"The state of Florida's Unclaimed Property, Florida Treasure Hunt. -- Note added 6/6/13 18:08"
water permiting,['florida'],flwaterpermits.com,"Florida Water Permiting Portal This portal provides links to information about water resource permitting in Florida, and links to DEP and the water management districts to: n Apply for permits and other authorizations, including: n Environmental Resource Permits * (and authorizations to use state-owned submerged lands, where applicable) Consumptive and Water Use Permits Well Construction Permits Works of the District Permits    -- Note added 6/23/15 18:21"
department agriculture,['florida'],freshfromflorida.com,Florida Department of Agriculture and Consumer Services -- Note added 1/10/14 19:03
national government,[],fsmgov.org,National Government of the Federated States of Micronesia -- Note added 6/12/13 13:58
national guard,['georgia'],gadod.net,Georgia National Guard -- Note added 1/23/14 13:59
state department,['georgia'],gadoe.org,State of Georgia Department of Education -- Note added 6/6/13 18:08
Unknown,['georgia'],galottery.com,Georgia lottery -- Note added 6/12/13 14:07
ga call,[],ganocall.com,GA Do Not Call List. GA Dept of Law. Consumer Protection Unit.  -- Note added 8/25/15 15:32
state defense,['georgia'],gasdf.com,Georgia State Defense Force -- Note added 1/23/14 14:03
state defense,['georgia'],gasdf.org,Georgia State Defense Force public beta domain. Crosslinked with gasdf.us email domain.
state defense,['georgia'],gasdf.us,Georgia State Defense Force email domain. Referenced on https://directory.doas.ga.gov/. Not in use as a public website.
operates part,['mississippi'],gearupms.org,"GEAR UP Mississippi operates as part of the Institutions of Higher Learning, Office of Academic and Student Affairs in collaboration with the Mississippi Department of Education, State Board for Community and Junior Colleges and community and national partners. Funding is provided by the United States Department of Education. -- Note added 7/23/14 17:21"
lousiana national,[],geauxguard.com,Lousiana National Guard -- Note added 1/22/14 19:28
bureau geology,['new mexico'],geoinfo.nmt.edu,New Mexico Bureau of Geology & Mineral Resources -- Note added 7/16/14 5:13
civil war,['georgia'],georgiacivilwar.org,The Georgia Civil War Commission -- Note added 8/25/15 15:31
fiscal management,['georgia'],georgiafmc.com,The Georgia Fiscal Management Council    -- Note added 8/25/15 15:30
trust (,['georgia'],georgiatrust.org,Georgia Trust (Preservation Committee) -- Note added 8/25/15 15:28
governor 's,[],getagameplan.org,Governor's Office of Homeland Security and Emergency Preparedness -- Note added 1/10/14 19:17
student access,['oregon'],getcollegefunds.org,Oregon Student Access Commission -- Note added 1/10/14 19:17
ga national,[],gnfa.com,Ga National Fair Grounds and Agricenter -- Note added 8/25/15 15:27
commission dispute,['georgia'],godr.org,Georgia Commission on Dispute Resolution -- Note added 12/5/13 14:15
tourism authority,['hawaii'],gohawaii.com,"Hawaii Tourism Authority, Travel and Tourism Site for Hawaii -- Note added 2/10/15 14:00"
fish boat,['pennsylvania'],gonefishingpa.com,Pennsylvania Fish and Boat Commission's Outdoor Shop -- Note added 6/7/13 11:34
got nc,['north carolina'],gottobenc.com,"Got to Be NC Agriculture, Goodness Grows in NC, North Carolina Department of Agriculture & Consumer Services -- Note added 6/28/13 16:56"
got nc,[],gottobencfestival.com,"Got To Be NC Festival, a production of the NC Department of Agriculture -- Note added 8/2/13 15:48"
consumer protection,['arkansas'],gotyourbackarkansas.org,Consumer Protection Division of the Arkansas Attorney General's Office -- Note added 1/10/14 19:17
